,Part,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71
33,berry,0,29.9583,0.3157,49.4936,69.9856,0,11.642,0,0,1239.8071,1525.454,122.3254,10.7973,0,137.5117,0,12.726,2.7928,11.9819,11.7319,0.1902,119.6343,0,12.7099,54.7706,0,69.7523,0,86.5929,125.1321,0,190.9326,0,173.1182,0,197.0066,15.5086,214.3589,0,300.8923,33.659,0,0,32.2179,12.0284,362.1007,482.6398,0.0575,11.665,81.4854,0,0,0,50.6264,81.4854,0,0,0,76.0325,0,0,117.4031,143.8372,0,0,16.598,39.7642,0,18.2546,25.1338,3.6003
34,berry,0,30.0654,0.0652,37.4377,65.5243,0,3.7131,0,0,1251.434,1660.5583,66.8152,7.0541,0,88.6985,0,6.3675,2.5048,11.3568,9.123,1.5547,91.8227,0,4.0443,91.8884,0,74.7376,0,182.1967,64.4055,0,110.5315,0,120.0801,0,136.6963,7.926,160.58,0,209.4381,0,0,0,16.5908,0,360.3287,463.8967,0,13.8728,82.2046,0,0,0,64.3256,82.2046,0,0,0,156.7624,0,0,246.1275,350.1005,0,0,0,76.9962,0,33.3593,62.4876,2.5872
35,berry,0,18.6807,18.1398,8.0889,37.4663,0,49.2597,0,0,68.4168,2149.529,6.0493,1.7211,14.0597,401.5626,0,0.8019,5.3918,1.7164,33.4516,21.1959,27.762,0,2.2313,96.0526,0,193.9092,0,177.266,173.4294,0,331.9392,0,178.3734,0,324.5699,28.5447,238.9908,0,500.0912,59.0198,0,0,67.4171,22.8477,344.4745,697.8144,31.082,31.0525,138.7602,0,0,0,55.8901,122.5283,0,0,0,64.4529,0,0,99.8765,116.3817,0,0,9.4426,10.0687,0,3.6125,8.0171,0
36,berry,0,21.9473,11.4609,0.069,43.9273,0,35.4693,0,0,260.6929,1920.2173,3.7271,7.51,0,98.05,0,0.2139,3.2082,1.6515,7.3948,10.9723,13.3743,0,0.3274,73.4013,0,150.2319,0,124.9591,133.7129,0,166.373,0,221.8339,0,221.3367,12.7827,265.9016,0,340.2337,39.2593,0,0,39.757,10.123,499.5476,609.1761,46.4576,17.6423,104.998,0,0,0,102.7166,104.998,0,0,0,157.9472,0,0,228.6129,296.232,0,0,0,83.2803,0,41.6735,63.4016,7.6585
37,berry,0,18.1351,22.9822,2.8107,37.2782,0,66.9687,0,0,119.2262,2646.8956,0.4063,8.809,0,76.235,0,0.0938,0.7988,0.9629,3.0115,21.6019,14.5851,0,2.4199,79.022,0,556.5753,0,161.301,44.6625,0,39.0092,0,104.2658,0,52.1485,0.7706,142.6948,0,83.09,9.7005,0,0,5.9713,3.2357,262.2451,141.6295,0,1.9073,26.0841,0,0,0,85.9493,26.0841,0,0,0,192.8103,0,0,306.5642,346.4953,0,0,7.0918,169.8503,0,84.952,139.4578,21.7156
38,berry,0,19.497,12.9405,10.5434,38.9529,0,38.1165,0,0,124.3385,2057.6919,11.1557,1.7794,0,324.5288,0,1.1484,10.2148,1.9984,31.4768,17.4083,34.5126,0,0.4337,86.6151,0,177.1228,0,155.2265,147.8326,0,296.3853,0,178.5087,0,337.5263,28.389,232.2856,0,519.4157,63.7385,0,0,67.5493,19.2331,370.219,712.3779,12.347,53.4712,151.9988,0,0,0,26.611,134.8672,14.1625,0,6.6456,43.3425,0,0,63.2255,112.692,0,0,20.0256,12.9191,0,5.6631,6.5633,3.3255
39,berry,0,23.7777,19.5276,7.71,43.614,0,43.7823,0,0,108.4802,2130.8993,7.1016,1.3809,9.5973,254.117,0,0.4163,5.6548,2.0467,14.2006,16.3771,32.3568,0,3.0464,94.3731,0,181.153,0,158.5581,123.4919,0,248.942,0,193.148,0,335.7635,22.8053,230.6293,0,501.025,58.481,0,0,60.8089,21.279,320.8763,635.9424,0,33.8793,100.8813,0,0,0,80.056,100.8813,0,0,0,109.8578,0,0,159.8114,162.0814,0,0,33.2116,43.2925,0,20.5515,24.6698,2.0238
40,berry,0,23.6857,13.1425,8.9147,44.7998,0,37.8891,0,0,162.5998,1999.6704,11.8242,1.3284,0,272.069,0,1.273,10.616,2.3747,27.5542,17.0402,30.544,0,3.1006,85.9741,0,216.2642,0,143.6282,138.9603,0,248.731,0,199.0347,0,301.5185,23.7993,238.5562,0,437.3729,52.6351,0,0,57.6185,18.277,411.4019,675.8777,41.9444,40.529,126.8773,0,0,0,38.3085,122.6591,10.7496,0,5.1022,95.4819,0,0,147.3001,153.2522,0,0,37.7103,93.7404,0,41.5468,55.4327,12.7544
41,berry,0,23.9105,13.1084,6.926,47.669,0,39.4314,0,0,164.5649,2303.6115,13.941,2.152,0,309.5864,0,0.79,8.5602,2.2931,22.6825,16.0037,28.117,0,2.2146,92.9166,0,186.2477,0,167.2226,129.5774,0,221.694,0,186.777,0,273.9158,15.9905,239.5166,0,389.4559,44.17,0,0,57.9908,14.8912,423.95,722.7955,62.0346,43.2889,126.7865,0,0,0,23.4057,126.7865,13.8502,0,6.4382,58.2501,0,0,82.4063,129.2451,0,0,23.1013,21.3844,0,10.7566,16.3643,0
42,berry,0,22.0236,12.9624,8.5064,44.1743,0,41.0128,0,0,172.078,2126.5178,6.3629,0.7392,0,230.7925,0,0.4813,3.9714,2.2632,14.688,17.8164,36.9869,0,3.8446,75.8518,0,193.9879,0,137.2997,124.7097,0,216.5593,0,187.3223,0,245.6512,17.7523,236.3606,0,338.9046,0,0,0,44.0241,17.903,471.7434,692.8615,43.4634,20.4398,143.9238,0,0,0,57.1222,128.6664,0,0,0,118.937,0,0,171.7481,223.305,0,0,25.6125,63.3146,0,26.8023,32.4047,0
43,berry,0,14.6605,11.4954,10.481,39.3692,0,42.0277,0,0,139.5065,1953.4865,7.2297,1.8645,0,290.7137,0,0.9567,9.5295,3.433,31.5635,20.3019,34.9081,0,3.8658,76.7454,0,215.6939,0,168.2134,148.3137,0,237.3917,0,215.0217,0,281.9898,4.0118,289.7683,0,391.2094,59.7346,0,0,76.1925,5.7198,499.3175,736.5059,26.9252,20.7019,198.8683,0,0,0,21.6699,173.1968,0,0,0,42.8538,0,0,78.453,106.3293,0,0,16.1407,12.2839,0,4.8304,10.1365,0
44,berry,0,26.5625,14.4661,0.936,47.9369,0,41.5635,0,0,194.5328,2681.9819,2.4303,7.3118,0,76.6966,0,0.1815,0.3991,0.6295,3.6651,17.1755,14.3973,0,0.5361,106.5252,0,230.3914,0,195.3623,60.503,0,52.6862,0,123.7319,0,69.9906,0,157.6213,0,116.2089,6.6676,0,0,3.8291,0,397.7586,278.4414,16.3489,4.9427,44.364,0,0,0,106.1202,44.364,0,0,0,256.7819,0,0,400.8286,568.6265,0,0,0,158.3943,0,79.6007,141.7545,19.4591
45,berry,0,26.6665,1.0553,21.7095,55.7342,0,15.1991,0,0,1072.7831,1629.0216,43.4859,7.4491,0,61.6026,0,0.5403,0,7.8764,10.0047,1.2483,66.8303,0,28.7569,85.0123,0,85.7807,0,151.8757,116.9168,0,93.5947,0,179.6136,0,126.5378,0,227.167,0,210.8845,23.5214,0,0,9.6798,0,524.0497,474.6308,0,11.703,85.3038,0,0,0,125.2287,85.3038,0,0,0,205.6364,0,0,292.9862,428.4378,0,0,53.2483,82.8782,0,41.2539,46.2514,0
46,berry,0,28.9244,15.0288,0.2924,51.3943,0,42.7133,0,0,197.4525,2889.4204,0.6106,7.1115,0,50.9277,0,0.1224,0,3.2334,2.5993,19.9467,29.6717,0,18.0368,81.1949,0,178.9522,0,153.9708,87.835,0,28.3995,0,160.261,0,33.7182,0.2042,207.5079,0,52.4419,0,0,0,0,0,485.139,144.3715,15.7864,1.1458,4.4475,0,0,0,194.9861,4.4475,0,0,0.8552,317.9704,0,0,460.2228,599.2602,0,0,0,127.8931,0,55.0326,84.5265,0
