Sample,Rb1,RG1,RE,RC,Rb2,Ro,Rd,Rf,RG2,Rb3,Rg3,F2,Rh1,Total
PG077,0.48056272,0.1864984,0.25479872,0.18356448,0.2216544,0.1257784,0.05134976,0.0523864,0.03541472,0.03135792,0.00332288,0.00287408,0.00112288,1.63068576
PG080,0.30891872,0.25059232,0.21889472,0.11040656,0.08143872,0.07843088,0.05619856,0.04709232,0.02890448,0.01729728,0.00319968,0.00306944,0.00094512,1.2053888
PG081,0.44724064,0.279532,0.2919576,0.23006192,0.2741464,0.06946368,0.08972304,0.06095584,0.03511552,0.038984,0.00573056,0.0078496,0.00174064,1.83250144
PG082,0.41011872,0.3202056,0.299244,0.12479808,0.0858968,0.10459152,0.06115648,0.06623408,0.03172928,0.01654048,0.00212784,0.00081664,0.00047168,1.5239312
PG083,0.39259616,0.29535264,0.21398432,0.13905408,0.17404992,0.05754848,0.05746576,0.05269792,0.02255088,0.02591952,0.00418176,0.00525008,0.0025344,1.44318592
PG084,0.33766304,0.2440768,0.30216032,0.1155704,0.07307168,0.07724464,0.05671424,0.05007904,0.03563824,0.01493184,0.00204688,0.00041888,0.00049456,1.31011056
PG085,0.35958208,0.22161568,0.12591392,0.13579632,0.15446816,0.05770336,0.04425872,0.04970944,0.01839376,0.01995136,0.00327008,0.003344,0.00180224,1.19580912
PG087,0.33087824,0.23323872,0.22778448,0.14341712,0.163152,0.07410832,0.05614224,0.0510576,0.03017344,0.02292576,0.00168608,0.00059488,0.0011792,1.33633808
PG088,0.27705568,0.2459864,0.06320688,0.12689072,0.14608352,0.0695552,0.03291904,0.02711808,0.0000792,0.01990384,0.00085184,0.00022704,0,1.00987744
PG090,0.49120544,0.30184,0.28093472,0.1514392,0.16629008,0.085668,0.06599296,0.05559136,0.03040224,0.02425104,0.00159104,0.0004928,0.00058608,1.65628496
PG092,0.47260752,0.2996752,0.25927792,0.12033824,0.09334336,0.08281328,0.06777232,0.06382464,0.03487088,0.01667248,0.00180752,0.0002112,0.0021296,1.51534416
PG093,0.294624,0.31474608,0.09192832,0.0983048,0.06491584,0.07808416,0.06420656,0.04032864,0.00246928,0.0121792,0.00134816,0.00011968,0.00032208,1.0635768
PG098,0.19619776,0.080784,0.17036448,0.0685784,0.04705184,0.05282992,0.03618032,0.014212,0.02206864,0.01053008,0.0009768,0.0002464,0,0.70002064
PG099,0.42348416,0.26219424,0.22263648,0.15775936,0.15602928,0.08743504,0.05259584,0.05852,0.03375328,0.02516272,0.0018216,0.00091168,0.001188,1.48349168
PG100,0.31186672,0.13494448,0.2068352,0.1443112,0.14097776,0.07443568,0.0486904,0.02870736,0.02689984,0.02277264,0.00152768,0.0003344,0,1.14230336
PG101,0.49831056,0.41237856,0.273064,0.13519616,0.09951744,0.04254272,0.07346416,0.07111984,0.03319536,0.01871408,0.00441056,0.00976448,0.0021736,1.67385152
PG102,0.15618592,0.1256288,0.1513688,0.06348496,0.042504,0.02709344,0.04402112,0.0281072,0.02245056,0.00936144,0.00476256,0.0053768,0.00165088,0.68199648
PG103,0.2871088,0.20476368,0.17963616,0.1007688,0.08803872,0.06827216,0.03709024,0.0434016,0.02222528,0.01565168,0.00122496,0.00028336,0.000308,1.04877344
PG104,0.44588016,0.32392096,0.20512448,0.1658008,0.16919056,0.10721744,0.0566368,0.06023424,0.01684496,0.02510464,0.00215776,0.00095216,0.0014608,1.58052576
PG105,0.34244496,0.31170832,0.17471344,0.1381776,0.12022208,0.06772656,0.05431184,0.0572352,0.01390224,0.01885488,0.00154352,0.00015664,0.00137808,1.30237536
PG106,0.29828832,0.2284392,0.12908896,0.13252448,0.15978864,0.0550088,0.04584096,0.04423056,0.01834448,0.02029808,0.00271392,0.003256,0.00157344,1.13939584
PG107,0.35730112,0.2316776,0.15995936,0.11275088,0.10958816,0.06596656,0.03481984,0.0434632,0.01825472,0.01741696,0.00202224,0.00044176,0.0015752,1.1552376
PG108,0.26014208,0.24244528,0.11018656,0.06244304,0.0417208,0.05904096,0.02001824,0.04696208,0.002244,0.00932096,0.00126896,0.0001672,0.00050864,0.8564688
PG109,0.40097728,0.338624,0.0666864,0.18100896,0.2224024,0.093896,0.07497952,0.03415456,0.00028336,0.03044976,0.00160336,0.00010032,0,1.44516592
PG110,0.29022048,0.09384144,0.2242592,0.11833712,0.10610688,0.06121456,0.03305632,0.016544,0.02144384,0.0169752,0.00195888,0.00024816,0,0.98420608
PG111,0.2692712,0.175164,0.16599264,0.06235504,0.05068624,0.06665472,0.03809168,0.03347344,0.01886544,0.00930688,0.00128656,0.00027456,0.00010912,0.89153152
PG112,0.22171248,0.21960048,0.06415376,0.04779984,0.03213584,0.04487824,0.03471072,0.04227344,0.001056,0.00699776,0.0008624,0.0002552,0.0004224,0.71685856
PG113,0.22572528,0.13160224,0.26221008,0.0815936,0.04286656,0.06734816,0.0487256,0.04056624,0.04064544,0.01033296,0.00208912,0.00032032,0.00012496,0.95415056
PG114,0.30716928,0.3038024,0.23095248,0.12896048,0.08585632,0.09670672,0.06722848,0.06895152,0.03462976,0.01684496,0.00374704,0.000484,0.00200464,1.34733808
PG115,0.37683888,0.17214032,0.27082352,0.11948816,0.12080464,0.08907712,0.04799344,0.03151984,0.03557136,0.01906256,0.00174064,0.00031152,0,1.285372
PG116,0.3510056,0.22740256,0.18170768,0.12507088,0.097108,0.07849424,0.05225264,0.0354112,0.02137872,0.01756832,0.00192016,0.000264,0,1.189584
PG117,0.44707696,0.39332128,0.11042768,0.2077328,0.23682208,0.12528032,0.074668,0.09040416,0.00345664,0.03214992,0.00200464,0.00027808,0.00251152,1.72613408
PG118,0.36891008,0.22574112,0.2736184,0.11767008,0.07874944,0.06408336,0.03879568,0.0448888,0.03163072,0.01630992,0.00269808,0.000264,0.00051392,1.2638736
PG119,0.47514368,0.31924992,0.16026208,0.21450704,0.23737648,0.113212,0.06524496,0.05609296,0.00648032,0.03316544,0.00235488,0.0002376,0.000748,1.68407536
,,,,,,,,,,,,,,
MIN,0.15618592,0.080784,0.05982944,0.04779984,0.03213584,0.02134528,0.02001824,0.014212,0.0000792,0.00699776,0.00085184,0.000044,0,0.68199648
MAX,0.5822784,0.41577008,0.41895216,0.23625184,0.2741464,0.1257784,0.10039216,0.09040416,0.04729824,0.04112416,0.00784256,0.01138016,0.00461648,2.0069632
