,Part,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71
21,root,34.0255,0,0,68.4098,0,0,0,50.2889,24.8974,997.1872,838.7624,36.2627,0,0,0,8.9387,0,0,0,0,0,347.8141,0.0072,31.1931,0,0,143.0113,0.0517,0,1087.8389,0,361.7457,0,658.0235,0,0,0,733.9239,135.5805,57.2255,0,0,15.8389,0,16.2193,506.0766,155.4542,6.7929,0,0,10.6899,0,0,80.8403,0,0,0,0,18.5742,16.202,0,13.1849,27.2295,196.1762,17.7283,0,0,14.7835,0,0,0
22,root,36.9079,0,0,55.2935,0,0,0,54.185,27.7262,1018.3603,934.8002,23.9983,0,0,0,11.7174,0,0,0,0,0,380.9912,0,34.2484,0,0,169.1424,0.0157,0,1163.9446,0.0067,359.9085,0,570.165,0,0,0,657.5561,127.0475,44.1048,27.9458,0,20.0347,0.8466,12.1794,348.0017,99.671,5.7178,0,0,9.5604,0,0.0413,279.9553,0,0,0.0236,0,44.0725,0,0,49.6292,43.4381,186.3532,15.6729,0,0,14.6544,0,0,0
23,root,0,0,0,64.0696,0,80.5958,0,0.2496,0,764.0165,802.6428,111.6376,0,0,0,0.8493,0,0,0,0,0,284.9586,75.132,120.2163,0,0.3266,138.7184,167.1159,0,567.8302,33.4144,629.4648,322.4515,293.8461,219.914,0,0,200.885,13.5943,63.8972,33.4677,0,18.7417,26.0977,0,160.283,211.6803,23.109,0,0,4.5657,1.5349,2.9985,16.9488,0,0,3.1194,0,2.302,10.2976,0,1.5682,8.6349,30.773,4.9408,0,0,3.0931,0,0,0
24,root,0,0,0,69.2487,0,77.9795,0,0,0,783.7756,961.8294,38.7425,0,0,0,0.8061,0,0,0,0,0,268.4135,10.3421,103.976,0,0.6928,148.2523,25.9648,0,647.717,0,825.5011,275.6298,320.4015,27.8984,0,0,322.0949,0,157.2972,0,0,21.0491,56.2821,1.4706,172.3456,261.5373,22.7322,0,0,8.8007,0,0.1596,6.5293,0,0,0,0,0,9.0715,0,0.5465,3.4446,18.6337,4.6311,0,0,1.6462,0,0,0
25,root,12.2807,0,0,84.248,0,259.4508,0,14.1166,5.3443,699.0591,937.8225,9.492,0,0,0,7.8868,0,0,0,0,0,179.1131,76.606,206.1867,0,0,144.6219,205.8817,0,666.6157,20.1757,289.0363,328.9309,391.5887,305.6974,0,0,272.1286,73.7126,25.8162,0,0,18.4345,5.3102,0,273.7497,99.1725,0,0,0,5.2095,9.3427,12.2685,67.2231,0,0,13.7705,0,10.3497,14.9554,0,2.609,11.8785,110.3777,13.0749,0,0,9.1233,0,0,0
26,root,0,0,0,97.3926,0,2.4383,0,0,0,914.1985,873.6718,44.664,0,0,0,1.082,0,0,0,0,0,297.0328,76.3005,31.5613,0,2.0687,138.1754,157.3006,0,538.1604,31.9526,594.9724,345.5409,278.316,202.4381,0,0,191.8972,0,60.6746,32.9823,0,19.8239,24.2458,0,151.1299,181.6862,16.3694,0,0,4.3737,0.6344,0.3611,10.4687,0,0,1.918,0,0,10.6227,0,1.039,4.014,30.4054,4.8083,0,0,2.2451,0,0,0
27,root,64.2443,0,0,98.3131,0,2.522,0,66.1666,25.2495,1247.3082,713.8618,0,0,0,0,13.332,0,0,0,0,0,407.7077,0,41.8308,0,0,121.1833,0,0,897.3671,0,230.3439,236.4799,528.2798,0,0,0,557.5978,110.7841,33.1912,15.2362,0,19.221,0.6555,0,414.7258,98.985,11.51,0,0,10.9121,0,0,244.214,0,0,0,0,43.1822,17.749,0,88.5077,42.7621,200.4786,16.4493,0,0,25.7234,0,0,0
28,root,0,0,0,72.7268,0,2.2386,0,0,0,707.9713,952.3434,28.2793,0,0,0,1.8341,0,0,0,0,0,274.6298,0.0068,28.0479,0,1.2952,162.571,0,0,632.7567,0,638.6301,247.4482,463.061,0,0,0,489.2507,122.546,184.041,71.3385,0,17.2989,76.4796,0,248.6046,273.418,0,0,0,12.3375,0,0,30.6413,0,0,0,0,6.8372,10.5845,0,0,7.608,43.143,5.6655,0,0,3.2067,0,0,0
29,root,51.1586,0,0,98.6097,0,2.1006,0,75.4428,32.0325,1158.8793,466.4802,0.6797,0,0,0,4.9391,0,0,0,0,0,411.7108,32.3707,42.4036,0,0,28.1999,66.3919,0,757.6615,2.4389,314.8891,207.1559,483.6165,148.5164,0,0,448.4622,101.0287,47.1555,0.9971,0,26.4335,13.0143,0,375.0558,148.6956,0,0,0,13.4811,12.1204,16.4196,206.0293,0,0,20.31,0,46.0983,0,0,70.033,48.3272,177.3308,26.0949,0,0,19.1465,0,0,0
30,root,0,0,0,69.9459,0,35.5053,0,0,0,841.274,848.025,31.64,0,0,0,0.9808,0,0,0,0,0,249.6318,81.5036,47.8696,0,1.9866,150.4726,206.9652,0,432.6105,51.3141,509.6783,290.4963,291.7826,252.2223,0,0,188.2482,58.7266,62.9886,32.9728,0,13.7687,26.3816,4.7838,148.8799,187.5537,17.9894,0,0,4.6774,1.2223,0.2745,4.2082,0,0,1.1727,0,0,13.1593,3.1367,0.5952,2.5064,24.0707,4.4786,0,0,1.9853,0,0,0
